property,confound_r2,residual_r2,raw_r2,source_notebook,source_cells
molWt,0.9042672494822663,0.7000032858958819,0.9655355081409102,ProbeVAE/train-AR.ipynb,"23,24"
HeavyAtomCount,0.9705021839817232,0.7692318598143737,0.9884046912193298,ProbeVAE/train-AR.ipynb,"23,24"
cLogP,0.36122144910562004,0.7551842284567054,0.8442055009898602,ProbeVAE/train-AR.ipynb,"23,24"
TPSA,0.3785863500489387,0.7728269096695753,0.8669500786400959,ProbeVAE/train-AR.ipynb,"23,24"
HBD,0.060405513307916325,0.5211091794748388,0.553505003452301,ProbeVAE/train-AR.ipynb,"23,24"
HBA,0.40887524405925524,0.7138110386364862,0.8388676643371582,ProbeVAE/train-AR.ipynb,"23,24"
NumRotatableBonds,0.41119519234849944,0.5947418961133448,0.763684868812561,ProbeVAE/train-AR.ipynb,"23,24"
RingCount,0.7498340504775519,0.8505685007553679,0.9566965103149414,ProbeVAE/train-AR.ipynb,"23,24"
AromaticRingCount,0.5466624159446891,0.7767347445223758,0.9089957475662231,ProbeVAE/train-AR.ipynb,"23,24"
FractionCSP3,0.31106345162744786,0.8541882334575157,0.9152635994298993,ProbeVAE/train-AR.ipynb,"23,24"
NumSpiroAtoms,0.017563135791225593,0.09136919816790001,0.1073232889175415,ProbeVAE/train-AR.ipynb,"23,24"
NumBridgeheadAtoms,0.03671684859415314,0.15555861290344186,0.18780910968780518,ProbeVAE/train-AR.ipynb,"23,24"
BertzCT,0.8613515813604711,0.7537253129591558,0.9677311712217662,ProbeVAE/train-AR.ipynb,"23,24"
QED,0.1478971116094563,0.44236112641914316,0.5121259196359448,ProbeVAE/train-AR.ipynb,"23,24"
SA-score,0.0952123641610979,0.6129740313155971,0.6532760878609951,ProbeVAE/train-AR.ipynb,"23,24"
