property,r2_train,r2_val,r2_test,epochs
molWt,0.991625,0.989865,0.990197,15
HeavyAtomCount,0.996283,0.995754,0.995812,15
cLogP,0.946162,0.932640,0.933848,15
TPSA,0.955597,0.944754,0.945532,15
HBD,0.833884,0.791089,0.791534,15
HBA,0.939492,0.926296,0.925829,15
NumRotatableBonds,0.927678,0.909129,0.908894,15
RingCount,0.987473,0.985012,0.985209,15
AromaticRingCount,0.962937,0.955728,0.954883,15
FractionCSP3,0.985064,0.982244,0.982369,15
NumSpiroAtoms,0.896068,0.598539,0.627717,15
NumBridgeheadAtoms,0.942153,0.786963,0.784972,15
SA-score,0.853244,0.815273,0.814025,15
