property,ridge_raw_r2_test,mlp_raw_r2_test,Delta-R2_raw,ridge_residual_r2_test,mlp_residual_r2_test,Delta-R2_residual,abs_spearman,interpretation
NumBridgeheadAtoms,0.192932,0.784972,0.592040,0.160989,0.771113,0.610123,0.086953,nonlinear/local property
NumSpiroAtoms,0.110847,0.627717,0.516870,0.094921,0.608081,0.513160,0.085031,nonlinear/local property
HBD,0.554568,0.791534,0.236966,0.522278,0.778430,0.256153,0.213232,nonlinear/local property
NumRotatableBonds,0.763811,0.908894,0.145083,0.595674,0.848861,0.253186,0.507343,nonlinear/local property
molWt,0.965844,0.990197,0.024354,0.702565,0.937809,0.235244,0.945450,confounded property
SA-score,0.653898,0.814025,0.160127,0.614698,0.795043,0.180345,0.327896,nonlinear/local property
HBA,0.822048,0.925829,0.103781,0.704443,0.884343,0.179900,0.573268,nonlinear/local property
HeavyAtomCount,0.988487,0.995812,0.007325,0.770024,0.932690,0.162666,0.975855,confounded property
cLogP,0.844932,0.933848,0.088916,0.756500,0.901068,0.144568,0.570525,mixed property
TPSA,0.867097,0.945532,0.078435,0.772808,0.915502,0.142694,0.539671,mixed property
AromaticRingCount,0.908056,0.954883,0.046827,0.776350,0.902358,0.126009,0.703247,mixed property
FractionCSP3,0.915431,0.982369,0.066938,0.854589,0.965999,0.111411,0.379744,mixed property
RingCount,0.956548,0.985209,0.028662,0.850151,0.957594,0.107443,0.881421,confounded property
