property,raw_r2,confound_r2,residual_r2
MolWt,0.9136074017567044,0.9036599709940171,0.3799149221745457
ExactMolWt,0.9141954281049187,0.9050000429549983,0.3772284493999888
HeavyAtomCount,0.9561665300494102,0.9704927733242134,0.3611501886987041
cLogP,0.6676986690449442,0.36217499453496893,0.5406102515746825
TPSA,0.6556693073646405,0.38225460773514364,0.46528093822485683
HBD,0.21712021009687654,0.058796352716531386,0.17822313085846053
HBA,0.7071015224859174,0.4118806834353974,0.4734914808996499
NumRotatableBonds,0.4734212141561991,0.40888955026980167,0.20646210111550645
RingCount,0.8549448378050899,0.7490136615649674,0.5143368985984121
AromaticRingCount,0.8422807824415559,0.5435768618244989,0.6067071434916445
FractionCSP3,0.7814812124951354,0.3086335784805062,0.6770173860862496
NumSpiroAtoms,0.048410584153314895,0.0178683552826151,0.03181239166464089
NumBridgeheadAtoms,0.07366044625756862,0.03284190337726911,0.047239089174166304
BertzCT,0.9278625369360552,0.8540279079976976,0.5475198192461855
QED,0.36776950225275085,0.14695504523027791,0.30110772231953886
