,selfies_len_tokens,branch_token_count,ring_token_count,token_entropy
MolWt,0.9390260974450968,0.8022795189052588,0.6974273434280439,0.5594600307923414
ExactMolWt,0.939774002093704,0.8028451113546605,0.6981368727438432,0.5593016546246568
HeavyAtomCount,0.9733298161957404,0.8078282566954976,0.7613088998530574,0.5333980624617938
cLogP,0.5526826514917196,0.43385334251036667,0.4450391735980612,0.15767585214897525
TPSA,0.5319141162829567,0.48918543103467166,0.3348396287288679,0.4894596139653844
HBD,0.18901916325130322,0.17003000414138658,0.11295276233810997,0.20226534851956252
HBA,0.588609881424333,0.4826887182535133,0.4656935682793485,0.5064101935554606
NumRotatableBonds,0.4364952021408333,0.2923231976398228,0.20358971967424466,-0.022379258525341943
RingCount,0.7265757366652037,0.5303023137135944,0.8511349318126664,0.585356158437754
AromaticRingCount,0.6151701551140398,0.4314562742147407,0.6730464901252895,0.5771412890071472
FractionCSP3,-0.1316416090699692,-0.07193035793084664,-0.21749226079334166,-0.49839154584514644
NumSpiroAtoms,0.05536364827938832,0.06828604346382224,0.08756496465509084,0.012880796404222013
NumBridgeheadAtoms,0.03789951206705373,0.062263087919458886,0.09855259226508561,-0.0028864951045582095
BertzCT,0.8957150480044495,0.7270901248400554,0.8012764501145168,0.649170729277118
QED,-0.3107902963703919,-0.2244096708878712,-0.21051191465998179,-0.02670763835107492
