,selfies_len_tokens,branch_token_count,ring_token_count,token_entropy
MolWt,0.9454495248258004,0.8160568030716782,0.7298056752294843,0.5868099380776687
ExactMolWt,0.9463780754041984,0.8167409619326381,0.7305682769890198,0.5862160452561208
HeavyAtomCount,0.9758552870156557,0.8217966844768736,0.7868524914212198,0.5551456730903936
cLogP,0.5705253804861335,0.4554509787786102,0.48675152801303523,0.2005539907594786
TPSA,0.5396708050874623,0.5037751218335325,0.3479243583433765,0.5199461378789293
HBD,0.17805037781116584,0.16373247677658287,0.10982834371560253,0.21323171704109276
HBA,0.5972170432481109,0.5036784226965911,0.47000172239040805,0.5306256184355138
NumRotatableBonds,0.507344656047942,0.37832115852954185,0.27890391587401187,0.12352214497403242
RingCount,0.7391613917080451,0.5552321193314982,0.8814211363495316,0.5831797076138218
AromaticRingCount,0.6242406339889489,0.45387791469179933,0.7032467178014472,0.5747863857695695
FractionCSP3,-0.07112679427204324,-0.01769193738137434,-0.19823566486428446,-0.37974573166103526
NumSpiroAtoms,0.05453821689042726,0.06834185953831519,0.08503059465541449,0.01209158921094102
NumBridgeheadAtoms,0.03168946878039923,0.05156115503862296,0.08695262665125379,-0.007464097210553025
BertzCT,0.9041699836974086,0.7479570015574063,0.8318975902817646,0.6682985671012579
QED,-0.2986914495783682,-0.20901429317738623,-0.17781125233451267,-0.11971452953899953
