property,r2_original,r2_residual,delta,r2_original_test,r2_residual_test,delta_test
MolWt,0.9505419704615269,0.5874493715988776,-0.36309259886264933,0.9502464934580057,0.5807992829019932,-0.3694472105560125
ExactMolWt,0.9507941503207621,0.5846079780453382,-0.36618617227542394,0.9505179041426913,0.5778500494942076,-0.37266785464848373
HeavyAtomCount,0.9758274151660903,0.48380900507881586,-0.4920184100872744,0.9758667720705303,0.48571169360913613,-0.49015507846139417
cLogP,0.7718760226138984,0.6539900713220566,-0.11788595129184187,0.7698916514829187,0.6571890660671308,-0.11270258541578793
TPSA,0.7770232664538331,0.6319251182190146,-0.14509814823481848,0.7764997034127077,0.6307192721907742,-0.14578043122193352
HBD,0.34266129079163066,0.3037167660923019,-0.03894452469932874,0.3518193448963012,0.3100026693571397,-0.04181667553916146
HBA,0.7974852256283198,0.6318976596454542,-0.16558756598286561,0.7998497964922102,0.6359980452583176,-0.16385175123389262
NumRotatableBonds,0.5685631653331689,0.2972481177143579,-0.271315047618811,0.5658932827328741,0.299856410484158,-0.2660368722487161
RingCount,0.8931691509531121,0.6024465748672327,-0.29072257608587937,0.8917908503122854,0.6013055881838745,-0.29048526212841097
AromaticRingCount,0.8855692178323136,0.7199417565076549,-0.16562746132465866,0.8854645893180981,0.721016350452294,-0.16444823886580417
FractionCSP3,0.8579794750582268,0.7816603344177266,-0.07631914064050016,0.8586884479786605,0.784311639702443,-0.07437680827621751
NumSpiroAtoms,0.06840258446064063,0.052977045300175885,-0.01542553916046474,0.06656514395069246,0.050426534649070986,-0.016138609301621476
NumBridgeheadAtoms,0.10497562519344406,0.07609014754974375,-0.028885477643700308,0.10696254204540656,0.07806060893398492,-0.02890193311142164
BertzCT,0.9503432643682812,0.6570987037003972,-0.29324456066788396,0.9493828451670493,0.6563897606238999,-0.29299308454314943
QED,0.4306225712427907,0.36673234557895185,-0.06389022566383884,0.4308440375544532,0.3651745105518994,-0.0656695270025538
