target,alpha,alpha_source,n_train,n_val,n_test,r2_train,r2_val,r2_test,w_norm
MolWt,1.0,step3_r2_Z_to_Y,635522,79440,79441,0.9508699656360232,0.9505419959736343,0.9502464738519721,1143.3289978580294
ExactMolWt,1.0,step3_r2_Z_to_Y,635522,79440,79441,0.9511257640038975,0.950793969380338,0.9505180300151523,1138.222404216883
HeavyAtomCount,1.0,step3_r2_Z_to_Y,635522,79440,79441,0.9759682425309064,0.9758274459458085,0.9758668831217482,60.54917117423617
cLogP,3.1622776601683795,step3_r2_Z_to_Y,635522,79440,79441,0.7741189648879252,0.7718756288421218,0.7698909824527914,28.02445622431175
TPSA,1.0,step3_r2_Z_to_Y,635522,79440,79441,0.7773635011597722,0.7770218551936128,0.7764993904387508,552.2837612193933
HBD,3.1622776601683795,step3_r2_Z_to_Y,635522,79440,79441,0.3527815751536285,0.3426604018456755,0.351818944615903,21.014430176148135
HBA,3.1622776601683795,step3_r2_Z_to_Y,635522,79440,79441,0.7978972546922221,0.7974848688199546,0.7998503999740803,32.398817129973374
NumRotatableBonds,3.1622776601683795,step3_r2_Z_to_Y,635522,79440,79441,0.5709469366978233,0.5685626279873092,0.5658934070001032,52.198687152465716
RingCount,1.0,step3_r2_Z_to_Y,635522,79440,79441,0.8929390934793254,0.8931688146513996,0.8917904219218958,14.541334638623837
AromaticRingCount,1.0,step3_r2_Z_to_Y,635522,79440,79441,0.8865392768047853,0.8855687049666295,0.8854645753859304,14.2796439031524
FractionCSP3,1.0,step3_r2_Z_to_Y,635522,79440,79441,0.8583087597406288,0.8579798897304336,0.8586887336779729,3.5934109098002236
NumSpiroAtoms,31.622776601683796,step3_r2_Z_to_Y,635522,79440,79441,0.06914468105258409,0.06840223384295097,0.06656508792247018,1.1289208376206947
NumBridgeheadAtoms,10.0,step3_r2_Z_to_Y,635522,79440,79441,0.11199820414331108,0.1049750217702834,0.10696193052551273,4.897856609038694
BertzCT,1.0,step3_r2_Z_to_Y,635522,79440,79441,0.9506068495464707,0.9503431350757655,0.9493826810485706,3082.6729060765006
QED,3.1622776601683795,step3_r2_Z_to_Y,635522,79440,79441,0.4304347583125674,0.43062213068113464,0.4308441019886793,3.1298808841356176
