target,alpha,n_train,B,cos_median,cos_mean,cos_p05,cos_p95
MolWt,1.0,635522,8,0.9995232019985307,0.9995222469305944,0.9994327674829782,0.999606116662497
ExactMolWt,1.0,635522,8,0.9995474812180243,0.9994919088669716,0.9993463703958064,0.9995856808084556
HeavyAtomCount,1.0,635522,8,0.9996057572804938,0.9995982099516592,0.999540811299073,0.9996393915365567
cLogP,3.1622776601683795,635522,8,0.9990070553599891,0.9989841003832369,0.9987964684102244,0.9991115569538488
TPSA,1.0,635522,8,0.999241656056498,0.9992264460839628,0.9990670269148956,0.9993461004827338
HBD,3.1622776601683795,635522,8,0.9982893290882504,0.9983013493850097,0.9979975604452836,0.9985863011182263
HBA,3.1622776601683795,635522,8,0.9991421008823329,0.9991342658983746,0.9989336553969408,0.9993334995494901
NumRotatableBonds,3.1622776601683795,635522,8,0.9988185492210815,0.9987763709039124,0.9984619895895963,0.9990344595414055
RingCount,1.0,635522,8,0.9989498640142003,0.9989810118033584,0.9988841364871054,0.9991526438602184
AromaticRingCount,1.0,635522,8,0.9991768682593754,0.9991187161846433,0.9989362146894721,0.9992519956160071
FractionCSP3,1.0,635522,8,0.9993925294972372,0.9993456109081789,0.9992194933537057,0.9994551429645216
NumSpiroAtoms,31.622776601683796,635522,8,0.9848707328102342,0.9851457018938106,0.9834178992761939,0.9877050620695875
NumBridgeheadAtoms,10.0,635522,8,0.9941363666612261,0.9937808125809573,0.9923597485316102,0.9946408470888608
BertzCT,1.0,635522,8,0.9992557160761286,0.9992687589549842,0.9991569897950738,0.9994292347475018
QED,3.1622776601683795,635522,8,0.9983658883189682,0.9982989832800537,0.9979416853196297,0.9985186353669432
