property,r2_original,r2_residual,delta,r2_original_test,r2_residual_test,delta_test
MolWt,0.9184367082851829,0.3173943829861189,-0.601042325299064,0.9190326762937123,0.31702891574195813,-0.6020037605517542
ExactMolWt,0.9190205949486866,0.3144678693863907,-0.6045527255622959,0.9196501516141578,0.31408010505289374,-0.605570046561264
HeavyAtomCount,0.9624234085076716,0.3834605969955741,-0.5789628115120975,0.9622093320530075,0.3787486219858389,-0.5834607100671686
cLogP,0.6836257275920429,0.5749561501153055,-0.10866957747673733,0.6823806518549012,0.5791111291852775,-0.10326952266962364
TPSA,0.6980644175589721,0.52190062063692,-0.17616379692205208,0.7007663198390472,0.5251158023585616,-0.17565051748048566
HBD,0.2553599972793893,0.21848451628996524,-0.03687548098942406,0.26274691623808455,0.22262419108915077,-0.04012272514893378
HBA,0.7578640984919627,0.538126069496792,-0.2197380289951707,0.7602155629413717,0.5427455566567325,-0.2174700062846392
NumRotatableBonds,0.4879104646867747,0.20032323602423396,-0.2875872286625407,0.48208946350958326,0.2007172991717444,-0.28137216433783885
RingCount,0.8504635991039834,0.51605660121754,-0.33440699788644335,0.8494791791440223,0.515359799046009,-0.33411938009801323
AromaticRingCount,0.8501589612406022,0.653838436290682,-0.19632052494992025,0.850289245097216,0.6576768615154955,-0.1926123835817205
FractionCSP3,0.7843740339777757,0.7116628315983358,-0.07271120237943995,0.7861915772042835,0.7161423897043679,-0.07004918749991551
NumSpiroAtoms,0.05216207189080202,0.03688935807335636,-0.01527271381744566,0.051280046832509085,0.03583203491324738,-0.015448011919261706
NumBridgeheadAtoms,0.0737561816003578,0.04242543622636186,-0.03133074537399594,0.08162583537138424,0.04899063351139865,-0.032635201859985585
BertzCT,0.9307783249144547,0.5618818350408127,-0.368896489873642,0.9302699658744238,0.5646191174984548,-0.36565084837596895
QED,0.3479931816412616,0.2833374265448467,-0.06465575509641486,0.34551149983455076,0.2788508550321406,-0.06666064480241018
