property,confound,abs_corr,pearson_corr,spearman_corr
HeavyAtomCount,selfies_len_tokens,0.9758552870156557,0.9733298161957404,0.9758552870156557
ExactMolWt,selfies_len_tokens,0.9463780754041984,0.939774002093704,0.9463780754041984
MolWt,selfies_len_tokens,0.9454495248258004,0.9390260974450968,0.9454495248258004
BertzCT,selfies_len_tokens,0.9041699836974086,0.8957150480044495,0.9041699836974086
RingCount,ring_token_count,0.8814211363495316,0.8511349318126664,0.8814211363495316
BertzCT,ring_token_count,0.8318975902817646,0.8012764501145168,0.8318975902817646
HeavyAtomCount,branch_token_count,0.8217966844768736,0.8078282566954976,0.8217966844768736
ExactMolWt,branch_token_count,0.8167409619326381,0.8028451113546605,0.8167409619326381
MolWt,branch_token_count,0.8160568030716782,0.8022795189052588,0.8160568030716782
HeavyAtomCount,ring_token_count,0.7868524914212198,0.7613088998530574,0.7868524914212198
BertzCT,branch_token_count,0.7479570015574063,0.7270901248400554,0.7479570015574063
RingCount,selfies_len_tokens,0.7391613917080451,0.7265757366652037,0.7391613917080451
ExactMolWt,ring_token_count,0.7305682769890198,0.6981368727438432,0.7305682769890198
MolWt,ring_token_count,0.7298056752294843,0.6974273434280439,0.7298056752294843
AromaticRingCount,ring_token_count,0.7032467178014472,0.6730464901252895,0.7032467178014472
BertzCT,token_entropy,0.6682985671012579,0.649170729277118,0.6682985671012579
AromaticRingCount,selfies_len_tokens,0.6242406339889489,0.6151701551140398,0.6242406339889489
HBA,selfies_len_tokens,0.5972170432481109,0.588609881424333,0.5972170432481109
MolWt,token_entropy,0.5868099380776687,0.5594600307923414,0.5868099380776687
ExactMolWt,token_entropy,0.5862160452561208,0.5593016546246568,0.5862160452561208
