target,alpha,alpha_source,n_train,n_val,n_test,r2_train,r2_val,r2_test,w_norm
MolWt,0.3162277660168379,step3_r2_Z_to_Y,635522,79440,79441,0.9194425540096637,0.9184367382659908,0.9190326907426152,113.18010685809529
ExactMolWt,0.3162277660168379,step3_r2_Z_to_Y,635522,79440,79441,0.9200307840555555,0.9190205987624513,0.9196501619435736,112.43674100682337
HeavyAtomCount,1.0,step3_r2_Z_to_Y,635522,79440,79441,0.9621967966336729,0.962423425094872,0.962209285640582,5.951599283158687
cLogP,10.0,step3_r2_Z_to_Y,635522,79440,79441,0.6863843255024034,0.6836258500202589,0.682380601774581,1.6163576803310225
TPSA,316.227766016838,step3_r2_Z_to_Y,635522,79440,79441,0.6989564722254947,0.6980645055735839,0.7007661158922835,27.893071852891797
HBD,10.0,step3_r2_Z_to_Y,635522,79440,79441,0.2617388857220564,0.2553600078854441,0.2627469640152209,0.7472295078962105
HBA,1.0,step3_r2_Z_to_Y,635522,79440,79441,0.7583954743299645,0.7578643554591155,0.760215419682126,1.880621322399043
NumRotatableBonds,3.1622776601683795,step3_r2_Z_to_Y,635522,79440,79441,0.48597963609633443,0.48791042660625017,0.4820895953033213,2.5923214988236896
RingCount,0.3162277660168379,step3_r2_Z_to_Y,635522,79440,79441,0.8505555613503821,0.850463625777548,0.8494791084665926,1.4890429982423754
AromaticRingCount,1.0,step3_r2_Z_to_Y,635522,79440,79441,0.8508453425945236,0.8501590287274953,0.8502890467578192,1.243597484140554
FractionCSP3,1.0,step3_r2_Z_to_Y,635522,79440,79441,0.7863977078926798,0.7843740595920572,0.7861914333218074,0.2743747727806909
NumSpiroAtoms,3.1622776601683795,step3_r2_Z_to_Y,635522,79440,79441,0.05260772350288401,0.05216199392166554,0.05128005131342439,0.08952582927607884
NumBridgeheadAtoms,3.1622776601683795,step3_r2_Z_to_Y,635522,79440,79441,0.0822802612356126,0.07375620384834114,0.08162577994273246,0.31968980865071633
BertzCT,3.1622776601683795,step3_r2_Z_to_Y,635522,79440,79441,0.9309259806124622,0.9307783487962754,0.9302699809772857,285.53952697224963
QED,10.0,step3_r2_Z_to_Y,635522,79440,79441,0.34781569602278684,0.34799317010414177,0.3455115087506688,0.1343433053647279
