target,alpha,alpha_source,n_train,n_val,n_test,r2_train,r2_val,r2_test,w_norm
resid_MolWt,0.3162277660168379,step3_r2_Z_to_Y,635522,79440,79441,0.3178099924317652,0.31739438457181557,0.3170289533625579,64.65835453121122
resid_ExactMolWt,0.3162277660168379,step3_r2_Z_to_Y,635522,79440,79441,0.3148444067212356,0.31446790507909717,0.31408010009897824,63.863812525144304
resid_HeavyAtomCount,1.0,step3_r2_Z_to_Y,635522,79440,79441,0.38162679919817477,0.38345849952244127,0.37874675941401426,1.1079309425341988
resid_cLogP,10.0,step3_r2_Z_to_Y,635522,79440,79441,0.5816868498844264,0.5749558461451163,0.5791107572476211,1.300919665129682
resid_TPSA,316.227766016838,step3_r2_Z_to_Y,635522,79440,79441,0.5255505476347212,0.5218888452208905,0.5251308637023323,23.96724001089685
resid_HBD,10.0,step3_r2_Z_to_Y,635522,79440,79441,0.22307583999716873,0.21848446020095103,0.2226241971880225,0.7865515940642127
resid_HBA,1.0,step3_r2_Z_to_Y,635522,79440,79441,0.5414046330571891,0.5381247351052914,0.5427459019628547,1.4341834545987964
resid_NumRotatableBonds,3.1622776601683795,step3_r2_Z_to_Y,635522,79440,79441,0.2005477185073351,0.20032339108700536,0.20071696616475,2.182016440807456
resid_RingCount,0.3162277660168379,step3_r2_Z_to_Y,635522,79440,79441,0.5172686186516664,0.516056551570599,0.5153596729478657,0.7592840126731621
resid_AromaticRingCount,1.0,step3_r2_Z_to_Y,635522,79440,79441,0.6560929982532875,0.6538380807460096,0.6576773514807042,1.4096978439148178
resid_FractionCSP3,1.0,step3_r2_Z_to_Y,635522,79440,79441,0.7144357031905568,0.711662752195054,0.7161425594519966,0.3366475089262621
resid_NumSpiroAtoms,3.1622776601683795,step3_r2_Z_to_Y,635522,79440,79441,0.037248520351068404,0.036889327025630525,0.03583204770220694,0.09641053722651181
resid_NumBridgeheadAtoms,3.1622776601683795,step3_r2_Z_to_Y,635522,79440,79441,0.048277728227288375,0.042425199537922564,0.048991571497990716,0.34582026802944205
resid_BertzCT,3.1622776601683795,step3_r2_Z_to_Y,635522,79440,79441,0.5625285683977534,0.5618818639731102,0.5646191390394242,139.20723862700711
resid_QED,10.0,step3_r2_Z_to_Y,635522,79440,79441,0.28141328174984304,0.28333724497231483,0.2788501724193926,0.12892952095998647
