target,alpha,n_train,B,cos_median,cos_mean,cos_p05,cos_p95
MolWt,0.3162277660168379,635522,8,0.9999611269205231,0.9999557858659536,0.999935823800232,0.9999717070396567
ExactMolWt,0.3162277660168379,635522,8,0.9999426976456178,0.9999385270179288,0.9998947910130598,0.9999667029269812
HeavyAtomCount,1.0,635522,8,0.9999486378331393,0.9999226150316427,0.9997922626564749,0.9999705126645188
cLogP,10.0,635522,8,0.9996959061957167,0.9996424807365414,0.999357330455935,0.9998030416302486
TPSA,316.227766016838,635522,8,0.9998053342546815,0.9997599001840127,0.9996002936856557,0.9998300973748535
HBD,10.0,635522,8,0.9991957050190409,0.9990185579578552,0.9982434385518195,0.9994501236369493
HBA,1.0,635522,8,0.9997916658799875,0.9997883015880095,0.9997220147476712,0.9998625735679766
NumRotatableBonds,3.1622776601683795,635522,8,0.9996876853678649,0.9996004393424163,0.9993294940279956,0.999746791731333
RingCount,0.3162277660168379,635522,8,0.9999133236732982,0.9998913488725729,0.9998199660811019,0.9999295760941455
AromaticRingCount,1.0,635522,8,0.9998464563252631,0.9998683748666036,0.999824929901069,0.9999237787132386
FractionCSP3,1.0,635522,8,0.9999058089489963,0.9998882601656046,0.9998069613298569,0.9999414638489529
NumSpiroAtoms,3.1622776601683795,635522,8,0.9987145085730555,0.9986195653394541,0.9982313299513691,0.9988734102395018
NumBridgeheadAtoms,3.1622776601683795,635522,8,0.9991151903097673,0.9990987386874116,0.9989139012136574,0.999310583972096
BertzCT,3.1622776601683795,635522,8,0.9999133311811907,0.9999119220331392,0.9998878003525337,0.9999336351194077
QED,10.0,635522,8,0.9993138605150577,0.9991945572707732,0.9987219167570015,0.9995156411727131
