target,alpha,n_train,B,cos_median,cos_mean,cos_p05,cos_p95
resid_MolWt,0.3162277660168379,635522,8,0.9999118418397841,0.9999131309013929,0.9998930653026756,0.9999297114134149
resid_ExactMolWt,0.3162277660168379,635522,8,0.9999171138895606,0.9999158763888022,0.9999060524534613,0.9999231443729829
resid_HeavyAtomCount,1.0,635522,8,0.9993653367855453,0.9993348958645228,0.9989914539891717,0.9995947416257576
resid_cLogP,10.0,635522,8,0.9995407602693483,0.9995072221711934,0.9991826505825954,0.9997565077436658
resid_TPSA,316.227766016838,635522,8,0.9997340680306677,0.9997035415890551,0.9995440329405367,0.9997715445306296
resid_HBD,10.0,635522,8,0.9993460061718882,0.9991715253839796,0.9983683518692242,0.999446448780817
resid_HBA,1.0,635522,8,0.9996790415030401,0.9995914929010916,0.9992272106288865,0.9997443566876663
resid_NumRotatableBonds,3.1622776601683795,635522,8,0.9994687242403753,0.9994681427099742,0.9991708350751074,0.9996981141093846
resid_RingCount,0.3162277660168379,635522,8,0.9996513327582333,0.9996484114970524,0.9994448355557917,0.9997770426005003
resid_AromaticRingCount,1.0,635522,8,0.9999310914425371,0.9999292399592432,0.9999065457386703,0.9999449975636375
resid_FractionCSP3,1.0,635522,8,0.9999501987551211,0.9999495279448418,0.999929959007169,0.9999627336383461
resid_NumSpiroAtoms,3.1622776601683795,635522,8,0.9989474717003546,0.9989022749539578,0.998736954458754,0.9990112225713619
resid_NumBridgeheadAtoms,3.1622776601683795,635522,8,0.9993611092696142,0.9993517033548134,0.9991334263095911,0.9994722680287684
resid_BertzCT,3.1622776601683795,635522,8,0.9997036697493238,0.9996944043150255,0.9996072647939891,0.9997603402912997
resid_QED,10.0,635522,8,0.9991407180609473,0.9991270574404802,0.998682166676522,0.9995065372259877
