,selfies_len_tokens,branch_token_count,ring_token_count,token_entropy
MolWt,0.9390260974450968,0.8022795189052588,0.6974273434280439,0.5594600307923414
ExactMolWt,0.939774002093704,0.8028451113546605,0.6981368727438432,0.5593016546246568
HeavyAtomCount,0.9733298161957404,0.8078282566954976,0.7613088998530574,0.5333980624617938
cLogP,0.5526826514917196,0.4338533425103666,0.4450391735980612,0.1576758521489752
TPSA,0.5319141162829567,0.4891854310346716,0.3348396287288679,0.4894596139653844
HBD,0.1890191632513032,0.1700300041413865,0.1129527623381099,0.2022653485195625
HBA,0.588609881424333,0.4826887182535133,0.4656935682793485,0.5064101935554606
NumRotatableBonds,0.4364952021408333,0.2923231976398228,0.2035897196742446,-0.0223792585253419
RingCount,0.7265757366652037,0.5303023137135944,0.8511349318126664,0.585356158437754
AromaticRingCount,0.6151701551140398,0.4314562742147407,0.6730464901252895,0.5771412890071472
FractionCSP3,-0.1316416090699692,-0.0719303579308466,-0.2174922607933416,-0.4983915458451464
NumSpiroAtoms,0.0553636482793883,0.0682860434638222,0.0875649646550908,0.012880796404222
NumBridgeheadAtoms,0.0378995120670537,0.0622630879194588,0.0985525922650856,-0.0028864951045582
BertzCT,0.8957150480044495,0.7270901248400554,0.8012764501145168,0.649170729277118
QED,-0.3107902963703919,-0.2244096708878712,-0.2105119146599817,-0.0267076383510749
SA-score,0.2692220401327128,0.3018474524967234,0.21886625396483722,0.17528082615010723
