,selfies_len_tokens,branch_token_count,ring_token_count,token_entropy
MolWt,0.9454495248258004,0.8160568030716782,0.7298056752294843,0.5868099380776687
ExactMolWt,0.9463780754041984,0.8167409619326381,0.7305682769890198,0.5862160452561208
HeavyAtomCount,0.9758552870156556,0.8217966844768736,0.7868524914212198,0.5551456730903936
cLogP,0.5705253804861335,0.4554509787786102,0.4867515280130352,0.2005539907594786
TPSA,0.5396708050874623,0.5037751218335325,0.3479243583433765,0.5199461378789293
HBD,0.1780503778111658,0.1637324767765828,0.1098283437156025,0.2132317170410927
HBA,0.5972170432481109,0.5036784226965911,0.470001722390408,0.5306256184355138
NumRotatableBonds,0.507344656047942,0.3783211585295418,0.2789039158740118,0.1235221449740324
RingCount,0.7391613917080451,0.5552321193314982,0.8814211363495316,0.5831797076138218
AromaticRingCount,0.6242406339889489,0.4538779146917993,0.7032467178014472,0.5747863857695695
FractionCSP3,-0.0711267942720432,-0.0176919373813743,-0.1982356648642844,-0.3797457316610352
NumSpiroAtoms,0.0545382168904272,0.0683418595383151,0.0850305946554144,0.012091589210941
NumBridgeheadAtoms,0.0316894687803992,0.0515611550386229,0.0869526266512537,-0.007464097210553
BertzCT,0.9041699836974086,0.7479570015574063,0.8318975902817646,0.6682985671012579
QED,-0.2986914495783682,-0.2090142931773862,-0.1778112523345126,-0.1197145295389995
SA-score,0.2986291327631258,0.32789629642862267,0.2278391658587779,0.233147894408912
