property,r2_original,r2_residual,delta,r2_original_test,r2_residual_test,delta_test
MolWt,0.9184367082851828,0.3173943829861189,-0.601042325299064,0.9190326762937124,0.3170289157419581,-0.6020037605517542
ExactMolWt,0.9190205949486866,0.3144678693863907,-0.6045527255622959,0.9196501516141578,0.3140801050528937,-0.605570046561264
HeavyAtomCount,0.9624234085076716,0.3834605969955741,-0.5789628115120975,0.9622093320530076,0.3787486219858389,-0.5834607100671686
cLogP,0.6836257275920429,0.5749561501153055,-0.1086695774767373,0.6823806518549012,0.5791111291852775,-0.1032695226696236
TPSA,0.6980644175589721,0.52190062063692,-0.176163796922052,0.7007663198390472,0.5251158023585616,-0.1756505174804856
HBD,0.2553599972793893,0.2184845162899652,-0.036875480989424,0.2627469162380845,0.2226241910891507,-0.0401227251489337
HBA,0.7578640984919627,0.538126069496792,-0.2197380289951707,0.7602155629413717,0.5427455566567325,-0.2174700062846392
NumRotatableBonds,0.4879104646867747,0.2003232360242339,-0.2875872286625407,0.4820894635095832,0.2007172991717444,-0.2813721643378388
RingCount,0.8504635991039834,0.51605660121754,-0.3344069978864433,0.8494791791440223,0.515359799046009,-0.3341193800980132
AromaticRingCount,0.8501589612406022,0.653838436290682,-0.1963205249499202,0.850289245097216,0.6576768615154955,-0.1926123835817205
FractionCSP3,0.7843740339777757,0.7116628315983358,-0.0727112023794399,0.7861915772042835,0.7161423897043679,-0.0700491874999155
NumSpiroAtoms,0.052162071890802,0.0368893580733563,-0.0152727138174456,0.051280046832509,0.0358320349132473,-0.0154480119192617
NumBridgeheadAtoms,0.0737561816003578,0.0424254362263618,-0.0313307453739959,0.0816258353713842,0.0489906335113986,-0.0326352018599855
BertzCT,0.9307783249144548,0.5618818350408127,-0.368896489873642,0.9302699658744238,0.5646191174984548,-0.3656508483759689
QED,0.3479931816412616,0.2833374265448467,-0.0646557550964148,0.3455114998345507,0.2788508550321406,-0.0666606448024101
SA-score,0.4555428378444397,0.38656933020373263,-0.06897350764070709,0.4670358115980684,0.3936040543416872,-0.07343175725638118
