property,mlp_raw_r2_val,mlp_raw_r2_test,mlp_resid_r2_val,mlp_resid_r2_test,delta_test_resid_minus_raw
HeavyAtomCount,0.9940145611763,0.9939194917678833,0.8560698628425598,0.8548513650894165,-0.1390681266784668
ExactMolWt,0.9848113059997559,0.9841137528419495,0.8624914884567261,0.8567487597465515,-0.12736499309539795
MolWt,0.9844197034835815,0.9839383363723755,0.8619085550308228,0.8555634021759033,-0.12837493419647217
BertzCT,0.9774444103240967,0.9766327142715454,0.8577573895454407,0.85523521900177,-0.12139749526977539
FractionCSP3,0.9661951661109924,0.9657875895500183,0.9383254051208496,0.9379409551620483,-0.02784663438796997
RingCount,0.9599746465682983,0.9592429399490356,0.8685289025306702,0.8694576621055603,-0.08978527784347534
AromaticRingCount,0.9374383091926575,0.9359553456306458,0.8625702857971191,0.8604040741920471,-0.07555127143859863
HBA,0.9109206199645996,0.9092774391174316,0.8400040864944458,0.8399775624275208,-0.06929987668991089
TPSA,0.9071720838546753,0.9088622331619263,0.8523460030555725,0.8540936708450317,-0.05476856231689453
cLogP,0.896385133266449,0.8965210318565369,0.8432785868644714,0.844322919845581,-0.05219811201095581
NumRotatableBonds,0.8324052095413208,0.8295073509216309,0.7162333130836487,0.7162594199180603,-0.11324793100357056
NumBridgeheadAtoms,0.6928771734237671,0.7072254419326782,0.6904712915420532,0.7037010788917542,-0.0035243630409240723
QED,0.6990482211112976,0.693892240524292,0.6547126770019531,0.6470207571983337,-0.04687148332595825
HBD,0.6500265598297119,0.6550747156143188,0.6289321780204773,0.632273256778717,-0.022801458835601807
NumSpiroAtoms,0.46762514114379883,0.463955819606781,0.44642263650894165,0.4622143507003784,-0.0017414689064025879
