target,best_epoch,n_train,n_val,n_test,r2_train,r2_val,r2_test,property,ridge_r2_val,ridge_r2_test,delta_val_mlp_minus_ridge,delta_test_mlp_minus_ridge
resid_FractionCSP3,37,635522,79440,79441,0.965177595615387,0.9383254051208496,0.9379409551620483,FractionCSP3,0.711662752195054,0.7161425594519966,0.22666265292579557,0.22179839571005178
resid_RingCount,32,635522,79440,79441,0.9357430338859558,0.8685289025306702,0.8694576621055603,RingCount,0.516056551570599,0.5153596729478657,0.3524723509600711,0.35409798915769464
resid_AromaticRingCount,16,635522,79440,79441,0.9102181792259216,0.8625702857971191,0.8604040741920471,AromaticRingCount,0.6538380807460096,0.6576773514807042,0.20873220505110957,0.20272672271134295
resid_ExactMolWt,53,635522,79440,79441,0.9415481090545654,0.8624914884567261,0.8567487597465515,ExactMolWt,0.3144679050790971,0.3140801000989782,0.548023583377629,0.5426686596475734
resid_MolWt,45,635522,79440,79441,0.9374130964279175,0.8619085550308228,0.8555634021759033,MolWt,0.3173943845718155,0.3170289533625579,0.5445141704590073,0.5385344488133454
resid_BertzCT,22,635522,79440,79441,0.91649329662323,0.8577573895454407,0.85523521900177,BertzCT,0.5618818639731102,0.5646191390394242,0.29587552557233043,0.29061607996234584
resid_HeavyAtomCount,35,635522,79440,79441,0.923439085483551,0.8560698628425598,0.8548513650894165,HeavyAtomCount,0.3834584995224412,0.3787467594140142,0.4726113633201186,0.4761046056754023
resid_TPSA,33,635522,79440,79441,0.9209558367729187,0.8523460030555725,0.8540936708450317,TPSA,0.5218888452208905,0.5251308637023323,0.330457157834682,0.32896280714269943
resid_cLogP,19,635522,79440,79441,0.9040796756744385,0.8432785868644714,0.844322919845581,cLogP,0.5749558461451163,0.5791107572476211,0.26832274071935514,0.26521216259796
resid_HBA,18,635522,79440,79441,0.9002046585083008,0.8400040864944458,0.8399775624275208,HBA,0.5381247351052914,0.5427459019628547,0.30187935138915445,0.2972316604646661
resid_NumRotatableBonds,27,635522,79440,79441,0.8438672423362732,0.7162333130836487,0.7162594199180603,NumRotatableBonds,0.2003233910870053,0.20071696616475,0.5159099219966434,0.5155424537533103
resid_NumBridgeheadAtoms,46,635522,79440,79441,0.9786273837089539,0.6904712915420532,0.7037010788917542,NumBridgeheadAtoms,0.0424251995379225,0.0489915714979907,0.6480460920041308,0.6547095073937634
resid_QED,16,635522,79440,79441,0.7684717178344727,0.6547126770019531,0.6470207571983337,QED,0.2833372449723148,0.2788501724193926,0.37137543202963835,0.36817058477894116
resid_HBD,14,635522,79440,79441,0.7616479992866516,0.6289321780204773,0.632273256778717,HBD,0.218484460200951,0.2226241971880225,0.41044771781952627,0.40964905959069453
resid_NumSpiroAtoms,18,635522,79440,79441,0.9098117351531982,0.44642263650894165,0.4622143507003784,NumSpiroAtoms,0.0368893270256305,0.0358320477022069,0.4095333094833111,0.42638230299817154
