target,best_epoch,n_train,n_val,n_test,r2_train,r2_val,r2_test
HeavyAtomCount,55,635522,79440,79441,0.9969686269760132,0.9940145611763,0.9939194917678833
ExactMolWt,56,635522,79440,79441,0.9930420517921448,0.9848113059997559,0.9841137528419495
MolWt,56,635522,79440,79441,0.992936372756958,0.9844197034835815,0.9839383363723755
BertzCT,30,635522,79440,79441,0.9879081845283508,0.9774444103240967,0.9766327142715454
FractionCSP3,50,635522,79440,79441,0.9822662472724915,0.9661951661109924,0.9657875895500183
RingCount,32,635522,79440,79441,0.9794403314590454,0.9599746465682983,0.9592429399490356
AromaticRingCount,20,635522,79440,79441,0.962135910987854,0.9374383091926575,0.9359553456306458
HBA,30,635522,79440,79441,0.9502862095832825,0.9109206199645996,0.9092774391174316
TPSA,33,635522,79440,79441,0.9510148167610168,0.9071720838546753,0.9088622331619263
cLogP,24,635522,79440,79441,0.9401245713233948,0.896385133266449,0.8965210318565369
NumRotatableBonds,20,635522,79440,79441,0.901648998260498,0.8324052095413208,0.8295073509216309
NumBridgeheadAtoms,29,635522,79440,79441,0.9712074398994446,0.6928771734237671,0.7072254419326782
QED,18,635522,79440,79441,0.805348813533783,0.6990482211112976,0.693892240524292
HBD,16,635522,79440,79441,0.7832353115081787,0.6500265598297119,0.6550747156143188
NumSpiroAtoms,16,635522,79440,79441,0.9037817120552063,0.46762514114379883,0.463955819606781
