target,best_epoch,n_train,n_val,n_test,r2_train,r2_val,r2_test,property
resid_FractionCSP3,37,635522,79440,79441,0.965177595615387,0.9383254051208496,0.9379409551620483,FractionCSP3
resid_RingCount,32,635522,79440,79441,0.9357430338859558,0.8685289025306702,0.8694576621055603,RingCount
resid_AromaticRingCount,16,635522,79440,79441,0.9102181792259216,0.8625702857971191,0.8604040741920471,AromaticRingCount
resid_ExactMolWt,53,635522,79440,79441,0.9415481090545654,0.8624914884567261,0.8567487597465515,ExactMolWt
resid_MolWt,45,635522,79440,79441,0.9374130964279175,0.8619085550308228,0.8555634021759033,MolWt
resid_BertzCT,22,635522,79440,79441,0.91649329662323,0.8577573895454407,0.85523521900177,BertzCT
resid_HeavyAtomCount,35,635522,79440,79441,0.923439085483551,0.8560698628425598,0.8548513650894165,HeavyAtomCount
resid_TPSA,33,635522,79440,79441,0.9209558367729187,0.8523460030555725,0.8540936708450317,TPSA
resid_cLogP,19,635522,79440,79441,0.9040796756744385,0.8432785868644714,0.844322919845581,cLogP
resid_HBA,18,635522,79440,79441,0.9002046585083008,0.8400040864944458,0.8399775624275208,HBA
resid_NumRotatableBonds,27,635522,79440,79441,0.8438672423362732,0.7162333130836487,0.7162594199180603,NumRotatableBonds
resid_NumBridgeheadAtoms,46,635522,79440,79441,0.9786273837089539,0.6904712915420532,0.7037010788917542,NumBridgeheadAtoms
resid_QED,16,635522,79440,79441,0.7684717178344727,0.6547126770019531,0.6470207571983337,QED
resid_HBD,14,635522,79440,79441,0.7616479992866516,0.6289321780204773,0.632273256778717,HBD
resid_NumSpiroAtoms,18,635522,79440,79441,0.9098117351531982,0.44642263650894165,0.4622143507003784,NumSpiroAtoms
